0.02.676.071 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.682.636 W srv  llama_server: -----------------
0.02.682.640 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.682.643 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.682.643 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.682.643 W srv  llama_server: -----------------
0.02.697.931 I srv    load_model: loading model 'D:\models\gguf\Qwen3.5-9B-Q4_K_M.gguf'
0.17.062.108 I cmn          init: llama threadpool init, n_threads = 10
0.17.287.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.17.341.123 I srv  llama_server: model loaded
0.17.341.187 I srv  llama_server: listening on http://127.0.0.1:8080
0.17.341.189 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.17.341.191 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
4.09.097.705 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.56.142.926 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.804
4.56.143.421 I slot launch_slot_: id  2 | task 1444 | processing task, is_child = 0
4.57.064.334 I slot print_timing: id  2 | task 1444 | prompt eval time =     142.76 ms /    65 tokens (    2.20 ms per token,   455.31 tokens per second)
4.57.064.345 I slot print_timing: id  2 | task 1444 |        eval time =     778.01 ms /    29 tokens (   27.79 ms per token,    35.99 tokens per second)
4.57.064.346 I slot print_timing: id  2 | task 1444 |       total time =     920.77 ms /    94 tokens
4.57.064.350 I slot print_timing: id  2 | task 1444 |    graphs reused =       1328
4.57.064.528 I slot      release: id  2 | task 1444 | stop processing: n_tokens = 4668, truncated = 0
4.57.091.748 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.930 (> 0.100 thold), f_keep = 1.000
4.57.092.219 I slot launch_slot_: id  2 | task 1475 | processing task, is_child = 0
4.58.063.396 I slot print_timing: id  2 | task 1475 | prompt eval time =     280.35 ms /   351 tokens (    0.80 ms per token,  1252.02 tokens per second)
4.58.063.430 I slot print_timing: id  2 | task 1475 |        eval time =     690.62 ms /    27 tokens (   26.56 ms per token,    37.65 tokens per second)
4.58.063.434 I slot print_timing: id  2 | task 1475 |       total time =     970.97 ms /   378 tokens
4.58.063.437 I slot print_timing: id  2 | task 1475 |    graphs reused =       1353
4.58.063.930 I slot      release: id  2 | task 1475 | stop processing: n_tokens = 5045, truncated = 0
4.58.104.572 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.929 (> 0.100 thold), f_keep = 1.000
4.58.105.129 I slot launch_slot_: id  2 | task 1504 | processing task, is_child = 0
5.00.475.036 I slot print_timing: id  2 | task 1504 | prompt eval time =     280.35 ms /   386 tokens (    0.73 ms per token,  1376.85 tokens per second)
5.00.475.046 I slot print_timing: id  2 | task 1504 |        eval time =    2089.38 ms /    75 tokens (   28.23 ms per token,    35.42 tokens per second)
5.00.475.047 I slot print_timing: id  2 | task 1504 |       total time =    2369.73 ms /   461 tokens
5.00.475.051 I slot print_timing: id  2 | task 1504 |    graphs reused =       1426
5.00.475.262 I slot      release: id  2 | task 1504 | stop processing: n_tokens = 5505, truncated = 0
5.00.530.118 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.970 (> 0.100 thold), f_keep = 1.000
5.00.530.594 I slot launch_slot_: id  2 | task 1581 | processing task, is_child = 0
5.03.746.302 I slot print_timing: id  2 | task 1581 | n_gen =    107, tg =  35.05 t/s, tg_3s =  35.38 t/s
5.04.954.089 I slot print_timing: id  2 | task 1581 | prompt eval time =     191.22 ms /   173 tokens (    1.11 ms per token,   904.74 tokens per second)
5.04.954.121 I slot print_timing: id  2 | task 1581 |        eval time =    4232.13 ms /   149 tokens (   28.60 ms per token,    34.97 tokens per second)
5.04.954.236 I slot print_timing: id  2 | task 1581 |       total time =    4423.35 ms /   322 tokens
5.04.954.271 I slot print_timing: id  2 | task 1581 |    graphs reused =       1573
5.04.954.822 I slot      release: id  2 | task 1581 | stop processing: n_tokens = 5826, truncated = 0
5.04.999.703 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.786
5.05.000.201 I slot launch_slot_: id  2 | task 1732 | processing task, is_child = 0
5.05.988.693 I slot print_timing: id  2 | task 1732 | prompt eval time =     157.90 ms /    62 tokens (    2.55 ms per token,   392.66 tokens per second)
5.05.988.712 I slot print_timing: id  2 | task 1732 |        eval time =     830.46 ms /    30 tokens (   28.64 ms per token,    34.92 tokens per second)
5.05.988.715 I slot print_timing: id  2 | task 1732 |       total time =     988.36 ms /    92 tokens
5.05.988.717 I slot print_timing: id  2 | task 1732 |    graphs reused =       1601
5.05.989.035 I slot      release: id  2 | task 1732 | stop processing: n_tokens = 4666, truncated = 0
5.06.021.772 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.924 (> 0.100 thold), f_keep = 1.000
5.06.022.448 I slot launch_slot_: id  2 | task 1764 | processing task, is_child = 0
5.07.446.386 I slot print_timing: id  2 | task 1764 | prompt eval time =     293.54 ms /   386 tokens (    0.76 ms per token,  1314.96 tokens per second)
5.07.446.395 I slot print_timing: id  2 | task 1764 |        eval time =    1130.12 ms /    41 tokens (   28.25 ms per token,    35.39 tokens per second)
5.07.446.396 I slot print_timing: id  2 | task 1764 |       total time =    1423.67 ms /   427 tokens
5.07.446.398 I slot print_timing: id  2 | task 1764 |    graphs reused =       1640
5.07.446.588 I slot      release: id  2 | task 1764 | stop processing: n_tokens = 5092, truncated = 0
5.07.489.064 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 1.000
5.07.489.510 I slot launch_slot_: id  2 | task 1807 | processing task, is_child = 0
5.08.745.539 I slot print_timing: id  2 | task 1807 | prompt eval time =     131.38 ms /    94 tokens (    1.40 ms per token,   715.48 tokens per second)
5.08.745.561 I slot print_timing: id  2 | task 1807 |        eval time =    1124.50 ms /    40 tokens (   28.83 ms per token,    34.68 tokens per second)
5.08.745.564 I slot print_timing: id  2 | task 1807 |       total time =    1255.88 ms /   134 tokens
5.08.745.566 I slot print_timing: id  2 | task 1807 |    graphs reused =       1678
5.08.745.930 I slot      release: id  2 | task 1807 | stop processing: n_tokens = 5225, truncated = 0
5.08.786.353 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.984 (> 0.100 thold), f_keep = 1.000
5.08.786.673 I slot launch_slot_: id  2 | task 1849 | processing task, is_child = 0
5.11.012.765 I slot print_timing: id  2 | task 1849 | prompt eval time =     129.09 ms /    86 tokens (    1.50 ms per token,   666.22 tokens per second)
5.11.012.779 I slot print_timing: id  2 | task 1849 |        eval time =    2096.89 ms /    73 tokens (   29.12 ms per token,    34.34 tokens per second)
5.11.012.781 I slot print_timing: id  2 | task 1849 |       total time =    2225.97 ms /   159 tokens
5.11.012.782 I slot print_timing: id  2 | task 1849 |    graphs reused =       1748
5.11.013.008 I slot      release: id  2 | task 1849 | stop processing: n_tokens = 5383, truncated = 0
5.11.058.053 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
5.11.058.432 I slot launch_slot_: id  2 | task 1924 | processing task, is_child = 0
5.11.767.222 I slot print_timing: id  2 | task 1924 | prompt eval time =     111.18 ms /    42 tokens (    2.65 ms per token,   377.76 tokens per second)
5.11.767.260 I slot print_timing: id  2 | task 1924 |        eval time =     597.47 ms /    21 tokens (   29.87 ms per token,    33.47 tokens per second)
5.11.767.264 I slot print_timing: id  2 | task 1924 |       total time =     708.65 ms /    63 tokens
5.11.767.267 I slot print_timing: id  2 | task 1924 |    graphs reused =       1767
5.11.767.836 I slot      release: id  2 | task 1924 | stop processing: n_tokens = 5445, truncated = 0
5.11.817.644 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.841
5.11.818.425 I slot launch_slot_: id  2 | task 1947 | processing task, is_child = 0
5.12.835.860 I slot print_timing: id  2 | task 1947 | prompt eval time =     183.75 ms /    57 tokens (    3.22 ms per token,   310.20 tokens per second)
5.12.835.872 I slot print_timing: id  2 | task 1947 |        eval time =     833.56 ms /    30 tokens (   28.74 ms per token,    34.79 tokens per second)
5.12.835.873 I slot print_timing: id  2 | task 1947 |       total time =    1017.31 ms /    87 tokens
5.12.835.874 I slot print_timing: id  2 | task 1947 |    graphs reused =       1795
5.12.836.050 I slot      release: id  2 | task 1947 | stop processing: n_tokens = 4661, truncated = 0
5.12.858.647 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.947 (> 0.100 thold), f_keep = 1.000
5.12.859.017 I slot launch_slot_: id  2 | task 1979 | processing task, is_child = 0
5.15.697.331 I slot print_timing: id  2 | task 1979 | prompt eval time =     224.58 ms /   260 tokens (    0.86 ms per token,  1157.72 tokens per second)
5.15.697.343 I slot print_timing: id  2 | task 1979 |        eval time =    2613.58 ms /    94 tokens (   28.10 ms per token,    35.58 tokens per second)
5.15.697.344 I slot print_timing: id  2 | task 1979 |       total time =    2838.16 ms /   354 tokens
5.15.697.346 I slot print_timing: id  2 | task 1979 |    graphs reused =       1887
5.15.697.557 I slot      release: id  2 | task 1979 | stop processing: n_tokens = 5014, truncated = 0
5.15.736.415 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
5.15.736.734 I slot launch_slot_: id  2 | task 2075 | processing task, is_child = 0
5.16.274.072 I slot print_timing: id  2 | task 2075 | prompt eval time =     114.31 ms /    33 tokens (    3.46 ms per token,   288.68 tokens per second)
5.16.274.084 I slot print_timing: id  2 | task 2075 |        eval time =     422.91 ms /    16 tokens (   28.19 ms per token,    35.47 tokens per second)
5.16.274.085 I slot print_timing: id  2 | task 2075 |       total time =     537.23 ms /    49 tokens
5.16.274.086 I slot print_timing: id  2 | task 2075 |    graphs reused =       1901
5.16.274.280 I slot      release: id  2 | task 2075 | stop processing: n_tokens = 5062, truncated = 0
5.16.293.318 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.905
5.16.293.673 I slot launch_slot_: id  2 | task 2093 | processing task, is_child = 0
5.17.219.712 I slot print_timing: id  2 | task 2093 | prompt eval time =     151.78 ms /    59 tokens (    2.57 ms per token,   388.73 tokens per second)
5.17.219.732 I slot print_timing: id  2 | task 2093 |        eval time =     774.14 ms /    29 tokens (   27.65 ms per token,    36.17 tokens per second)
5.17.219.765 I slot print_timing: id  2 | task 2093 |       total time =     925.92 ms /    88 tokens
5.17.219.771 I slot print_timing: id  2 | task 2093 |    graphs reused =       1928
5.17.219.951 I slot      release: id  2 | task 2093 | stop processing: n_tokens = 4662, truncated = 0
5.17.237.544 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 1.000
5.17.237.870 I slot launch_slot_: id  2 | task 2124 | processing task, is_child = 0
5.18.580.707 I slot print_timing: id  2 | task 2124 | prompt eval time =     289.70 ms /   367 tokens (    0.79 ms per token,  1266.81 tokens per second)
5.18.580.717 I slot print_timing: id  2 | task 2124 |        eval time =    1053.02 ms /    38 tokens (   28.46 ms per token,    35.14 tokens per second)
5.18.580.718 I slot print_timing: id  2 | task 2124 |       total time =    1342.72 ms /   405 tokens
5.18.580.727 I slot print_timing: id  2 | task 2124 |    graphs reused =       1964
5.18.580.918 I slot      release: id  2 | task 2124 | stop processing: n_tokens = 5066, truncated = 0
5.18.652.115 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
5.18.652.565 I slot launch_slot_: id  2 | task 2164 | processing task, is_child = 0
5.19.359.292 I slot print_timing: id  2 | task 2164 | prompt eval time =     103.57 ms /    52 tokens (    1.99 ms per token,   502.08 tokens per second)
5.19.359.305 I slot print_timing: id  2 | task 2164 |        eval time =     603.00 ms /    22 tokens (   28.71 ms per token,    34.83 tokens per second)
5.19.359.307 I slot print_timing: id  2 | task 2164 |       total time =     706.57 ms /    74 tokens
5.19.359.308 I slot print_timing: id  2 | task 2164 |    graphs reused =       1983
5.19.359.508 I slot      release: id  2 | task 2164 | stop processing: n_tokens = 5139, truncated = 0
5.19.378.451 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 0.891
5.19.378.764 I slot launch_slot_: id  2 | task 2188 | processing task, is_child = 0
5.20.310.678 I slot print_timing: id  2 | task 2188 | prompt eval time =     131.76 ms /    57 tokens (    2.31 ms per token,   432.59 tokens per second)
5.20.310.689 I slot print_timing: id  2 | task 2188 |        eval time =     800.02 ms /    29 tokens (   28.57 ms per token,    35.00 tokens per second)
5.20.310.693 I slot print_timing: id  2 | task 2188 |       total time =     931.78 ms /    86 tokens
5.20.310.694 I slot print_timing: id  2 | task 2188 |    graphs reused =       2010
5.20.310.888 I slot      release: id  2 | task 2188 | stop processing: n_tokens = 4660, truncated = 0
5.20.325.000 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 1.000
5.20.325.436 I slot launch_slot_: id  2 | task 2219 | processing task, is_child = 0
5.22.076.940 I slot print_timing: id  2 | task 2219 | prompt eval time =     216.62 ms /   245 tokens (    0.88 ms per token,  1130.99 tokens per second)
5.22.076.984 I slot print_timing: id  2 | task 2219 |        eval time =    1534.71 ms /    53 tokens (   29.51 ms per token,    33.88 tokens per second)
5.22.076.987 I slot print_timing: id  2 | task 2219 |       total time =    1751.34 ms /   298 tokens
5.22.076.990 I slot print_timing: id  2 | task 2219 |    graphs reused =       2061
5.22.077.525 I slot      release: id  2 | task 2219 | stop processing: n_tokens = 4957, truncated = 0
5.22.139.683 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 1.000
5.22.139.987 I slot launch_slot_: id  2 | task 2274 | processing task, is_child = 0
5.23.296.826 I slot print_timing: id  2 | task 2274 | prompt eval time =     116.12 ms /    57 tokens (    2.04 ms per token,   490.88 tokens per second)
5.23.296.839 I slot print_timing: id  2 | task 2274 |        eval time =    1040.61 ms /    38 tokens (   28.12 ms per token,    35.56 tokens per second)
5.23.296.841 I slot print_timing: id  2 | task 2274 |       total time =    1156.73 ms /    95 tokens
5.23.296.842 I slot print_timing: id  2 | task 2274 |    graphs reused =       2097
5.23.297.041 I slot      release: id  2 | task 2274 | stop processing: n_tokens = 5051, truncated = 0
5.23.319.204 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.906
5.23.319.555 I slot launch_slot_: id  2 | task 2314 | processing task, is_child = 0
5.24.357.091 I slot print_timing: id  2 | task 2314 | prompt eval time =     137.72 ms /    64 tokens (    2.15 ms per token,   464.70 tokens per second)
5.24.357.103 I slot print_timing: id  2 | task 2314 |        eval time =     899.68 ms /    33 tokens (   28.11 ms per token,    35.57 tokens per second)
5.24.357.105 I slot print_timing: id  2 | task 2314 |       total time =    1037.40 ms /    97 tokens
5.24.357.106 I slot print_timing: id  2 | task 2314 |    graphs reused =       2128
5.24.357.297 I slot      release: id  2 | task 2314 | stop processing: n_tokens = 4671, truncated = 0
5.24.372.345 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 1.000
5.24.372.690 I slot launch_slot_: id  2 | task 2349 | processing task, is_child = 0
5.27.580.361 I slot print_timing: id  2 | task 2349 | n_gen =    107, tg =  35.30 t/s, tg_3s =  35.63 t/s
5.29.570.984 I slot print_timing: id  2 | task 2349 | prompt eval time =     204.76 ms /   245 tokens (    0.84 ms per token,  1196.49 tokens per second)
5.29.570.995 I slot print_timing: id  2 | task 2349 |        eval time =    4993.41 ms /   178 tokens (   28.21 ms per token,    35.45 tokens per second)
5.29.570.996 I slot print_timing: id  2 | task 2349 |       total time =    5198.17 ms /   423 tokens
5.29.570.997 I slot print_timing: id  2 | task 2349 |    graphs reused =       2304
5.29.571.199 I slot      release: id  2 | task 2349 | stop processing: n_tokens = 5093, truncated = 0
5.29.625.448 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.926 (> 0.100 thold), f_keep = 1.000
5.29.625.775 I slot launch_slot_: id  2 | task 2529 | processing task, is_child = 0
5.32.976.039 I slot print_timing: id  2 | task 2529 | n_gen =    106, tg =  34.84 t/s, tg_3s =  35.17 t/s
5.35.997.599 I slot print_timing: id  2 | task 2529 | n_gen =    213, tg =  35.12 t/s, tg_3s =  35.41 t/s
5.37.636.636 I slot print_timing: id  2 | task 2529 | prompt eval time =     336.01 ms /   408 tokens (    0.82 ms per token,  1214.24 tokens per second)
5.37.636.647 I slot print_timing: id  2 | task 2529 |        eval time =    7674.73 ms /   271 tokens (   28.42 ms per token,    35.18 tokens per second)
5.37.636.655 I slot print_timing: id  2 | task 2529 |       total time =    8010.74 ms /   679 tokens
5.37.636.657 I slot print_timing: id  2 | task 2529 |    graphs reused =       2572
5.37.636.874 I slot      release: id  2 | task 2529 | stop processing: n_tokens = 5771, truncated = 0
5.37.702.588 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
5.37.702.907 I slot launch_slot_: id  2 | task 2802 | processing task, is_child = 0
5.40.834.991 I slot print_timing: id  2 | task 2802 | n_gen =    109, tg =  35.72 t/s, tg_3s =  36.05 t/s
5.41.468.735 I slot print_timing: id  2 | task 2802 | prompt eval time =     108.40 ms /    60 tokens (    1.81 ms per token,   553.51 tokens per second)
5.41.468.743 I slot print_timing: id  2 | task 2802 |        eval time =    3657.31 ms /   132 tokens (   27.92 ms per token,    35.82 tokens per second)
5.41.468.744 I slot print_timing: id  2 | task 2802 |       total time =    3765.71 ms /   192 tokens
5.41.468.746 I slot print_timing: id  2 | task 2802 |    graphs reused =       2701
5.41.468.965 I slot      release: id  2 | task 2802 | stop processing: n_tokens = 5962, truncated = 0
5.41.523.587 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
5.41.524.040 I slot launch_slot_: id  2 | task 2936 | processing task, is_child = 0
5.44.647.770 I slot print_timing: id  2 | task 2936 | n_gen =    109, tg =  35.98 t/s, tg_3s =  36.32 t/s
5.45.234.691 I slot print_timing: id  2 | task 2936 | prompt eval time =     122.17 ms /    61 tokens (    2.00 ms per token,   499.30 tokens per second)
5.45.234.703 I slot print_timing: id  2 | task 2936 |        eval time =    3588.35 ms /   130 tokens (   27.82 ms per token,    35.95 tokens per second)
5.45.234.705 I slot print_timing: id  2 | task 2936 |       total time =    3710.52 ms /   191 tokens
5.45.234.706 I slot print_timing: id  2 | task 2936 |    graphs reused =       2828
5.45.234.934 I slot      release: id  2 | task 2936 | stop processing: n_tokens = 6152, truncated = 0
5.45.273.687 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
5.45.273.976 I slot launch_slot_: id  2 | task 3068 | processing task, is_child = 0
5.48.408.970 I slot print_timing: id  2 | task 3068 | n_gen =    111, tg =  36.36 t/s, tg_3s =  36.69 t/s
5.51.411.275 I slot print_timing: id  2 | task 3068 | n_gen =    219, tg =  36.17 t/s, tg_3s =  35.97 t/s
5.51.696.106 I slot print_timing: id  2 | task 3068 | prompt eval time =     109.82 ms /    62 tokens (    1.77 ms per token,   564.57 tokens per second)
5.51.696.150 I slot print_timing: id  2 | task 3068 |        eval time =    6312.11 ms /   229 tokens (   27.68 ms per token,    36.12 tokens per second)
5.51.696.155 I slot print_timing: id  2 | task 3068 |       total time =    6421.93 ms /   291 tokens
5.51.696.160 I slot print_timing: id  2 | task 3068 |    graphs reused =       3054
5.51.696.928 I slot      release: id  2 | task 3068 | stop processing: n_tokens = 6442, truncated = 0
5.51.804.262 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.972 (> 0.100 thold), f_keep = 1.000
5.51.804.714 I slot launch_slot_: id  2 | task 3299 | processing task, is_child = 0
5.54.178.683 I slot print_timing: id  2 | task 3299 | prompt eval time =     199.17 ms /   188 tokens (    1.06 ms per token,   943.90 tokens per second)
5.54.178.695 I slot print_timing: id  2 | task 3299 |        eval time =    2174.64 ms /    80 tokens (   27.53 ms per token,    36.33 tokens per second)
5.54.178.696 I slot print_timing: id  2 | task 3299 |       total time =    2373.81 ms /   268 tokens
5.54.178.697 I slot print_timing: id  2 | task 3299 |    graphs reused =       3131
5.54.179.149 I slot      release: id  2 | task 3299 | stop processing: n_tokens = 6709, truncated = 0
5.54.275.936 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 1.000
5.54.276.318 I slot launch_slot_: id  2 | task 3381 | processing task, is_child = 0
5.57.440.955 I slot print_timing: id  2 | task 3381 | n_gen =    110, tg =  36.01 t/s, tg_3s =  36.34 t/s
5.58.305.969 I slot print_timing: id  2 | task 3381 | prompt eval time =     137.72 ms /   124 tokens (    1.11 ms per token,   900.36 tokens per second)
5.58.306.000 I slot print_timing: id  2 | task 3381 |        eval time =    3891.80 ms /   141 tokens (   27.80 ms per token,    35.97 tokens per second)
5.58.306.002 I slot print_timing: id  2 | task 3381 |       total time =    4029.52 ms /   265 tokens
5.58.306.004 I slot print_timing: id  2 | task 3381 |    graphs reused =       3269
5.58.316.931 I slot      release: id  2 | task 3381 | stop processing: n_tokens = 6973, truncated = 0
5.58.383.153 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 1.000
5.58.383.549 I slot launch_slot_: id  2 | task 3524 | processing task, is_child = 0
6.00.534.456 I slot print_timing: id  2 | task 3524 | prompt eval time =     147.94 ms /   104 tokens (    1.42 ms per token,   702.97 tokens per second)
6.00.534.469 I slot print_timing: id  2 | task 3524 |        eval time =    2002.85 ms /    70 tokens (   29.03 ms per token,    34.45 tokens per second)
6.00.534.471 I slot print_timing: id  2 | task 3524 |       total time =    2150.79 ms /   174 tokens
6.00.534.472 I slot print_timing: id  2 | task 3524 |    graphs reused =       3337
6.00.534.731 I slot      release: id  2 | task 3524 | stop processing: n_tokens = 7146, truncated = 0
6.00.570.121 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.641
6.00.570.667 I slot launch_slot_: id  2 | task 3596 | processing task, is_child = 0
6.01.553.137 I slot print_timing: id  2 | task 3596 | prompt eval time =     172.60 ms /    58 tokens (    2.98 ms per token,   336.04 tokens per second)
6.01.553.161 I slot print_timing: id  2 | task 3596 |        eval time =     809.73 ms /    30 tokens (   27.92 ms per token,    35.81 tokens per second)
6.01.553.164 I slot print_timing: id  2 | task 3596 |       total time =     982.33 ms /    88 tokens
6.01.553.166 I slot print_timing: id  2 | task 3596 |    graphs reused =       3365
6.01.554.888 I slot      release: id  2 | task 3596 | stop processing: n_tokens = 4662, truncated = 0
6.01.579.324 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.953 (> 0.100 thold), f_keep = 1.000
6.01.579.633 I slot launch_slot_: id  2 | task 3628 | processing task, is_child = 0
6.03.130.207 I slot print_timing: id  2 | task 3628 | prompt eval time =     215.52 ms /   229 tokens (    0.94 ms per token,  1062.56 tokens per second)
6.03.130.275 I slot print_timing: id  2 | task 3628 |        eval time =    1334.92 ms /    48 tokens (   28.40 ms per token,    35.21 tokens per second)
6.03.130.278 I slot print_timing: id  2 | task 3628 |       total time =    1550.44 ms /   277 tokens
6.03.130.281 I slot print_timing: id  2 | task 3628 |    graphs reused =       3411
6.03.130.696 I slot      release: id  2 | task 3628 | stop processing: n_tokens = 4938, truncated = 0
6.03.216.368 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
6.03.216.714 I slot launch_slot_: id  2 | task 3678 | processing task, is_child = 0
6.03.806.175 I slot print_timing: id  2 | task 3678 | prompt eval time =     107.79 ms /    40 tokens (    2.69 ms per token,   371.11 tokens per second)
6.03.806.187 I slot print_timing: id  2 | task 3678 |        eval time =     481.55 ms /    18 tokens (   28.33 ms per token,    35.30 tokens per second)
6.03.806.198 I slot print_timing: id  2 | task 3678 |       total time =     589.34 ms /    58 tokens
6.03.806.199 I slot print_timing: id  2 | task 3678 |    graphs reused =       3427
6.03.806.402 I slot      release: id  2 | task 3678 | stop processing: n_tokens = 4995, truncated = 0
6.03.844.235 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.917
6.03.844.565 I slot launch_slot_: id  2 | task 3698 | processing task, is_child = 0
6.06.148.213 I slot print_timing: id  2 | task 3698 | prompt eval time =     134.61 ms /    60 tokens (    2.24 ms per token,   445.74 tokens per second)
6.06.148.223 I slot print_timing: id  2 | task 3698 |        eval time =    2168.91 ms /    79 tokens (   27.81 ms per token,    35.96 tokens per second)
6.06.148.225 I slot print_timing: id  2 | task 3698 |       total time =    2303.52 ms /   139 tokens
6.06.148.226 I slot print_timing: id  2 | task 3698 |    graphs reused =       3504
6.06.148.411 I slot      release: id  2 | task 3698 | stop processing: n_tokens = 4713, truncated = 0
6.06.209.721 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.922 (> 0.100 thold), f_keep = 1.000
6.06.210.007 I slot launch_slot_: id  2 | task 3779 | processing task, is_child = 0
6.09.541.884 I slot print_timing: id  2 | task 3779 | n_gen =    107, tg =  35.25 t/s, tg_3s =  35.58 t/s
6.10.897.918 I slot print_timing: id  2 | task 3779 | prompt eval time =     324.55 ms /   401 tokens (    0.81 ms per token,  1235.57 tokens per second)
6.10.897.931 I slot print_timing: id  2 | task 3779 |        eval time =    4363.25 ms /   156 tokens (   28.15 ms per token,    35.52 tokens per second)
6.10.897.932 I slot print_timing: id  2 | task 3779 |       total time =    4687.80 ms /   557 tokens
6.10.897.933 I slot print_timing: id  2 | task 3779 |    graphs reused =       3657
6.10.898.122 I slot      release: id  2 | task 3779 | stop processing: n_tokens = 5269, truncated = 0
6.10.944.885 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
6.10.945.446 I slot launch_slot_: id  2 | task 3937 | processing task, is_child = 0
6.11.606.093 I slot print_timing: id  2 | task 3937 | prompt eval time =     129.81 ms /    66 tokens (    1.97 ms per token,   508.42 tokens per second)
6.11.606.105 I slot print_timing: id  2 | task 3937 |        eval time =     530.59 ms /    20 tokens (   27.93 ms per token,    35.81 tokens per second)
6.11.606.106 I slot print_timing: id  2 | task 3937 |       total time =     660.40 ms /    86 tokens
6.11.606.107 I slot print_timing: id  2 | task 3937 |    graphs reused =       3675
6.11.606.300 I slot      release: id  2 | task 3937 | stop processing: n_tokens = 5354, truncated = 0
6.11.623.786 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.855
6.11.624.090 I slot launch_slot_: id  2 | task 3959 | processing task, is_child = 0
6.12.609.270 I slot print_timing: id  2 | task 3959 | prompt eval time =     145.56 ms /    63 tokens (    2.31 ms per token,   432.80 tokens per second)
